time,distance,pace,elevation,vo2max
77.283333333333,15.6705,202.76687513479,0.3179,42.076975029604
67.7,13.8459,204.51846381093,0.2131,42.084488535422
61.666666666667,12.9745,210.3972972973,0.1995,43.276211838984
72.683333333333,13.8929,191.14285714286,0.2475,38.90556343782
63.2,12.9394,204.73734177215,0.1973,41.915471056799
37.983333333333,10.0301,264.06581834138,0.1146,55.387574386249
99.266666666667,20.5338,206.85493619879,0.2935,44.006424236617
65.766666666667,13.0076,197.78408514952,0.204,40.277760499411
71.55,14.0228,195.98602375961,0.2138,40.087393862613
65.216666666667,13.0119,199.51801686685,0.2002,40.690793983312
148.31666666667,26.5092,178.73379031352,0.5617,37.776986348349
63.45,13.018,205.16942474389,0.2004,42.03813949232
68.266666666667,14.203,208.0517578125,0.2528,43.016918783087
17.316666666667,5.0484,291.53416746872,0.0312,59.616150759968
61.9,12.999,210,0.2004,43.187402476079
46.55,10.0572,216.05155746509,0.1197,43.812782692232
72.25,14.5916,201.9598615917,0.2611,41.64476116669
18.45,5.09,275.88075880759,0.101,55.939050288264
46.166666666667,10.0056,216.72779783394,0.1347,43.957608769937
73.716666666667,14.3315,194.41329414425,0.2237,39.781426062625
19.583333333333,5.3687,274.14638297872,0.0795,55.727452739234
28.733333333333,4.4263,154.0475638051,0.0837,27.82504297078
64.2,10.6823,166.39096573209,0.1822,32.379845825344
62.55,14.1631,226.42845723421,0.2766,47.446955304903
61.433333333333,12.9973,211.56755290288,0.2021,43.562199312981
63.1,13.0032,206.07290015848,0.201,42.250023933362
37.966666666667,10.0711,265.26163301141,0.1325,55.69555378754
40.716666666667,8.3725,205.6283258289,0.1417,40.838675943819
44.333333333333,10.2894,232.09172932331,0.1395,47.711715719815
62.616666666667,12.9849,207.3713068938,0.1981,42.555432924987
37.283333333333,9.5242,255.45462673223,0.124,53.105913951104
68.166666666667,12.8503,188.51295843521,0.198,38.045610726098
61.2,12.5356,204.83006535948,0.2501,41.835576743053
81.6,16.4987,202.18995098039,0.3357,42.111469698045
46.866666666667,9.0691,193.50853485064,0.1811,38.227072503139
47.733333333333,10.7648,225.51955307263,0.1568,46.28177093488
112.5,21.6022,192.01955555556,0.303,40.510051691228
68.466666666667,13.8072,201.66309639727,0.1742,41.392445698821
36.516666666667,9.9714,273.06435417618,0.0453,57.582200422711
45.416666666667,8.8278,194.37357798165,0.1494,38.356988290356
60.2,12.8974,214.24252491694,0.1769,44.177401762106
11.833333333333,1.8398,155.47605633803,0.0226,26.429057762269
13.633333333333,2.9903,219.33740831296,0.0254,41.177154908282
24.716666666667,5.2781,213.54416722859,0.0991,41.525970873933
54.883333333333,11.2779,205.48861220771,0.1505,41.660093809258
65.766666666667,14.0552,213.71312721744,0.2304,44.343305844121
60.45,13.0947,216.62034739454,0.2248,44.799696971035
72.05,15.0594,209.01318528799,0.2288,43.448341534322
