distance,elevation
15.4,314.66427612305
255.9,318.18151855469
482.4,289.63745117188
525.3,293.81527709961
765.6,289.30502319336
811.1,291.47308349609
844.7,286.03231811523
906.5,289.23348999023
968.1,283.61962890625
1045.1,285.70364379883
1955.5,285.69534301758
2023.6,283.36953735352
2088.4,289.16165161133
2131.2,283.92324829102
2254.4,289.0100402832
2319.8,283.39944458008
2385.6,285.99224853516
3353,283.67263793945
3413,289.22216796875
3458.9,283.42034912109
3580.8,292.53536987305
3928.4,289.78506469727
4167.8,319.15805053711
